#,BRAND,PRODUCT NAME,CATEGORY,RETAIL PRICE (ZAR),SA MARKET PRICE (ZAR),SOURCE PRICE (USD),MAX LANDED COST (ZAR),MARGIN TIER,TARGET GM%,PRICING NOTE,SOURCE URL,DESCRIPTION,INGREDIENTS
39,Mediheal,MEDIHEAL Vita Essential Mask (10 PCs),Sheet Masks,R619.95,—,$15.00,R185.99,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/mediheal-vita-essential-mask-10-pcs,"The Skin Boutique Curates: MEDIHEAL Vita Essential Mask (10 PCs) A brightening sheet mask that tightens, smooths and balances skin with 3 types of vitamins. Authentically sourced and independently cur","Water, Glycerin (Check packaging for full details)"
40,Mediheal,MEDIHEAL Placenta Essential Mask (10 PCs),Sheet Masks,R619.95,—,$15.00,R185.99,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/mediheal-placenta-essential-mask-10-pcs,The Skin Boutique Curates: MEDIHEAL Placenta Essential Mask (10 PCs) A nourishing sheet mask that boosts skin elasticity to restore youth and radiance. Authentically sourced and independently curated ,"Water, Glycerin (Check packaging for full details)"
41,SOME BY MI,SOME BY MI Galactomyces Pure Vitamin C Glow Serum (30ml),Serum,R785.27,—,$19.00,R235.58,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/some-by-mi-galactomyces-pure-vitamin-c-glow-serum-30ml,"The Skin Boutique Curates: SOME BY MI Galactomyces Pure Vitamin C Glow Serum (30ml) A multi-functional serum that combines vitamin C and Galactomyces to brighten, firm, and moisturize all-in-one. Auth","Water, Glycerin (Check packaging for full details)"
42,COSRX,COSRX Advanced Snail 92 All In One Cream (100g),Cream,R743.94,—,$18.00,R223.18,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/cosrx-advanced-snail-92-all-in-one-cream-100g,"The Skin Boutique Curates: COSRX Advanced Snail 92 All In One Cream (100g) A lightweight, non-greasy moisturizing cream that contains 92% snail mucin and provides hydrating, soothing and anti-aging be","Water, Glycerin (Check packaging for full details)"
43,Celimax,celimax Pore+Dark Spot Brightening Cream (35ml),Cream,R867.92,—,$21.00,R260.38,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/celimax-pore-dark-spot-brightening-cream-35ml,"The Skin Boutique Curates: celimax Pore+Dark Spot Brightening Cream (35ml) Your all-in-one nourishing so lution for dark spots, uneven tone, and dehydrated skin. Authentically sourced and independentl","Water, Glycerin (Check packaging for full details)"
44,Celimax,celimax Pore+Dark Spot Brightening Serum (30ml),Serum,R867.92,—,$21.00,R260.38,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/celimax-pore-dark-spot-brightening-serum-30ml,"The Skin Boutique Curates: celimax Pore+Dark Spot Brightening Serum (30ml) Multifunctional serum that minimizes pores, lightens blemishes and improves skin tone Authentically sourced and independently","Water, Glycerin (Check packaging for full details)"
45,Dr. Althea,Dr. Althea 345 Relief Cream,Cream,R629.00,R629,$25.00,R188.70,Tier B (Volume),70%,Single product overlap.,https://kiyoko.com/products/dr-althea-345-relief-cream-50ml-renewed,"The Skin Boutique Curates: Dr. Althea 345 Relief Cream 3 ingredients for blemishes, 4 ingredients to nourish, 5 ingredients to soothe Authentically sourced and independently curated by The Skin Boutiq","Water, Glycerin (Check packaging for full details)"
46,Purito,PURITO Sea Buckthorn Vital 70 Cream (50ml),Cream,R867.92,—,$21.00,R260.38,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/purito-sea-buckthorn-vital-70-cream-50ml,"The Skin Boutique Curates: PURITO Sea Buckthorn Vital 70 Cream (50ml) This cream contains 70% of the Sea Buckthorn extract, the fruit of the vitamin tree, which helps brighten and visibly smooth skin’","Hippophae Rhamnoides Fruit Extract (70%) (brightening), Methylpropanediol (humectants), Glycerin (humectants), Cetyl Ethylhexanoate (occlusive), Jojoba oil (occlusive), Niacinamide (brightening), Poly"
47,Mediheal,MEDIHEAL Centella Niacin Ampoule Mask (10 PCs),Sheet Masks,R867.92,—,$21.00,R260.38,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/mediheal-centella-niacin-ampoule-mask-10-pcs,The Skin Boutique Curates: MEDIHEAL Centella Niacin Ampoule Mask (10 PCs) A mask that illuminates and calms the skin Authentically sourced and independently curated by The Skin Boutique — your trusted,"Water, Glycerin (Check packaging for full details)"
48,Dr. Althea,Dr.Althea Vitamin C Boosting Serum (30ml),Serum,R867.92,—,$21.00,R260.38,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/dr-althea-vitamin-c-boosting-serum-30ml,"The Skin Boutique Curates: Dr.Althea Vitamin C Boosting Serum (30ml) Say goodbye to dull, uneven skin tone with this Vitamin C boosting complex! Authentically sourced and independently curated by The ","Water, Glycerin (Check packaging for full details)"
