Brand,Product Name,SKU / ID,Image Link,Target Sale Price (ZAR)
"COSRX","COSRX Advanced Snail Hydrogel Eye Patch (30 Pairs)","COSRX-9140000000016","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Advanced_Snail_Hydrogel_Eye_Patch_30_Pairs.png?v=1772994643",642
"COSRX","COSRX Hyaluronic Acid Intensive Cream (100g)","COSRX-9140000000017","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Hyaluronic_Acid_Intensive_Cream__100g_-removebg-preview.png?v=1766170438",592
"COSRX","COSRX Two in One Poreless Power Liquid (100ml)","COSRX-9140000000018","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Two_in_One_Poreless_Power_Liquid_100ml.png?v=1772996243",592
"COSRX","COSRX Ultimate Nourishing Rice Spa Overnight Mask (60ml)","COSRX-9140000000019","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ultimate-moisturizing-rice-overnight-mask_1_530x_2x_d46fd1ce-776a-46ae-831c-3297d0efa8bc.png?v=1689691226",483
"COSRX","COSRX The Vitamin C 13 Serum (20ml)","COSRX-9140000000020","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Vitamin_C13_Serum.png?v=1774375634",529
"COSRX","COSRX The Retinol 0.5 Oil (20ml)","COSRX-9140000000021","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_The_Retinol_0.5_Oil__20ml_-removebg-preview.png?v=1766170432",627
"COSRX","COSRX The Retinol 0.1 Cream (20ml)","COSRX-9140000000022","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_The_Retinol_0.1_Cream__20ml_PNG.png?v=1769615266",627
"COSRX","COSRX The Niacinamide 15 Serum (20ml)","COSRX-9140000000023","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_The_Niacinamide_15_Serum__20ml_-removebg-preview.png?v=1766170433",592
"COSRX","COSRX The Vitamin C 23 Serum (20g)","COSRX-9140000000024","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_The_Vitamin_C_23_Serum_20g.png?v=1772996161",592
"COSRX","COSRX The Hyaluronic Acid 3 Serum (20ml)","COSRX-9140000000025","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_The_Hyaluronic_Acid_3_Serum__20ml_-removebg-preview.png?v=1766170433",529
"COSRX","COSRX Salicylic Acid Daily Gentle Cleanser (150ml)","COSRX-9140000000026","https://cdn.shopify.com/s/files/1/0515/4589/9157/products/salicylic-acid-daily-gentle-cleanser_1.webp?v=1668371626",397
"COSRX","COSRX BHA Blackhead Power Liquid (100ml)","COSRX-9140000000027","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_BHA_Blackhead_Power_Liquid_100ml.png?v=1772994925",599
"COSRX","COSRX Low pH Good Morning Gel Cleanser (150ml)","COSRX-9140000000028","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Low_pH_Good_Morning_Gel_Cleanser__150ml_-removebg-preview.png?v=1766170435",413
"COSRX","COSRX Acne Pimple Master Patch (24 Patches)","COSRX-9140000000029","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Acne_Pimple_Master_Patch_24_Patches.png?v=1772994529",300
"COSRX","COSRX AHA BHA Clarifying Treatment Toner (150ml)","COSRX-9140000000030","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_AHA_BHA_Clarifying_Treatment_Toner_150ml.png?v=1772994823",518
"COSRX","COSRX Advanced Snail Peptide Eye Cream (25ml)","COSRX-9140000000031","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Product_Images_-_2026-01-22T221256.538.png?v=1769091276",642
"COSRX","COSRX Advanced Snail 92 All In One Cream (100g)","COSRX-9140000000032","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Product_Images_97_86a93fe5-bdb4-4975-b58f-193b2913e474.png?v=1769089233",529
"COSRX","COSRX Advanced Snail 96 Mucin Power Essence (100ml)","COSRX-9140000000033","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/cosrx_1.png?v=1752361982",448
"Cow Brand","COW BRAND Bouncia Premium Moist Body Soap Refill - Silky Blossom (340ml)","COWBRAND-8008950153452","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COW_BRAND_Bouncia_Premium_Moist_Body_Soap_Refill_-_Silky_Blossom__340ml_-removebg-preview.png?v=1766171095",171
"Cow Brand","COW BRAND Soaps (2 pcs)","COWBRAND-9110764191980","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/4901525011297.png?v=1768404495",114
